feature,importance
Alloy formula_Cu-0.5Zr-0.065B,0.38545057
Ti,0.1123975
Alloy class_Cu-Ti alloys,0.080197684
Aging_Y,0.057684567
Cu,0.03990831
Alloy formula_Cu-4.0Ni-4.0Si,0.021642728
DOI_https://doi.org/10.1007/s12540-013-4002-x,0.019191928
DOI_https://doi.org/10.1016/S0167-577X(02)01212-0,0.016521096
DOI_https://doi.org/10.1016/j.msea.2006.01.068,0.015250156
Alloy formula_Cu-2.5Ni-2.5Si,0.014554739
Alloy formula_Cu-6Ni-1Si-0.5Al,0.013081525
Alloy formula_Cu-1.95Be,0.012495417
Alloy formula_Cu-1.5Ni-0.3Si-0.03P-0.05Mg,0.011425193
Cr,0.01011141
Be,0.009223025
Zn,0.008916008
Alloy formula_Cu-4.5Ni-1Si-1.2Co-0.15Mg,0.008348701
Ni,0.008109225
tss (h),0.007980332
Alloy formula_Cu-4.95Ni-1.20Si,0.007664003
Alloy formula_Cu-1Cr-0.1Zr,0.0075913332
Tss (K),0.007101544
Si,0.0052454653
Secondary thermo-mechanical process_Y,0.0051893326
Alloy formula_Cu-6Ni-1Si-0.5Al-0.15Mg-0.1Cr,0.004906477
Alloy formula_Cu-1.9Ni-1Si-1Co-0.2Zr,0.0048431302
DOI_https://doi.org/10.2320/jinstmet1952.62.4_301,0.004784295
Alloy formula_Cu-6Ni-1.4Si-0.15Mg-0.1Cr,0.004224003
Alloy formula_Cu-1.91Ni-0.47Si-0.035P,0.0041080834
Alloy formula_Cu-2.5Ni-1.3Si,0.0039729867
Alloy formula_Cu-3.2Ni-1.1Si,0.0038828468
Alloy formula_Cu-0.5Cr-0.08Zr,0.0037228768
Alloy formula_Cu-1.5Ni-1.5Si,0.0034688343
DOI_https://doi.org/10.1016/j.msea.2017.05.001,0.0033196087
Hardness (HV),0.0033018782
Tag (K),0.0032022772
Alloy formula_Cu-3.3Ni-1Si-0.8Cr-0.09Mg,0.0026520719
tag (h),0.0026041467
Alloy formula_Cu-1.5Ni-0.5Si,0.0024363522
Co,0.0022251839
DOI_https://doi.org/10.1016/j.jallcom.2015.11.103 and https://doi.org/10.1515/ntrev-2019-0034,0.0020700942
Alloy formula_Cu-0.3Cr-0.5Zr,0.0020112416
DOI_http://dx.doi.org/10.1016/j.msea.2005.09.118,0.0020002923
B,0.0019713945
Fe,0.0019570256
DOI_https://doi.org/10.1016/j.intermet.2013.05.013,0.0019427405
Alloy formula_Cu-4.0Ni-2.0Si,0.0018598783
DOI_https://doi.org/10.3390/ma12132076,0.00171814
CR reduction (%),0.0016942056
Ag,0.0016162023
DOI_https://doi.org/10.1016/j.jallcom.2005.09.037,0.001592073
DOI_https://doi.org/10.1016/j.msea.2006.12.163,0.0015296597
DOI_https://doi.org/10.1016/j.msea.2018.12.075,0.0013972867
Alloy formula_Cu-3.2Ni-0.7Si-0.3Zn,0.0013159371
Alloy formula_Cu-3Ni-0.63Si-0.12Ti,0.0011910244
Alloy formula_Cu-2.31Ni-1.18Si-0.82Co,0.0011244552
DOI_https://doi.org/10.1016/j.msea.2016.07.021,0.0010767215
Alloy formula_Cu-6Ni-1.4Si-0.1Ti,0.001073156
Ce,0.0010645495
Alloy formula_Cu-3.91Ni-0.93Si,0.0009682474
DOI_https://doi.org/10.1007/s11665-016-1987-6 and https://doi.org/10.1515/ntrev-2019-0034,0.0009531377
Alloy formula_Cu-0.4Cr,0.0009235342
P,0.00090446306
Ultimate tensile strength (MPa),0.0009031217
Alloy formula_Cu-6Ni-1.0Si-0.5Al-0.15Mg-0.1Cr,0.00088738784
DOI_https://doi.org/10.1007/s12598-013-0024-2,0.0008247892
Alloy formula_Cu-3.2Ni-0.60Si,0.0008144672
DOI_https://doi.org/10.1016/j.msea.2013.02.024,0.0007863086
Al,0.0007857031
